i,ts,lead_h,obs_lat,obs_lon,obs_kt,obs_cat,pred_lat,pred_lon,pred_kt,pred_kt_q10,pred_kt_q90,true_lat,true_lon,true_kt,err_km,pers_err_km,kt_err,pers_kt_err,in_cone
1,2019-04-26 00:00:00+00:00,6,2.2,90.0,22.0,D,2.5535617376808557,89.78408505256965,22.0,21.9360910149579,26.237055467165806,2.5,89.7,22.0,11.069061738666838,11.116676778988175,0.0,0.0,True
1,2019-04-26 00:00:00+00:00,12,2.2,90.0,22.0,D,3.0672336233250115,89.50847573518406,22.0,21.727869088590765,28.01366117761683,3.2,89.8,25.0,35.574692266260854,49.51717110213746,-3.0,-3.0,True
1,2019-04-26 00:00:00+00:00,18,2.2,90.0,22.0,D,3.6147138311304263,89.36371496088188,26.344913762973263,22.180512576675333,30.22729379932359,3.8,89.5,25.0,25.47542506581623,78.21678327772663,1.3449137629732633,-3.0,True
1,2019-04-26 00:00:00+00:00,24,2.2,90.0,22.0,D,3.957456779955999,89.13576559321815,29.036193578440916,22.640297924793394,34.94880230835601,4.6,89.4,30.0,76.869412227149,134.57939420535743,-0.9638064215590845,-8.0,True
2,2019-04-26 06:00:00+00:00,6,2.5,89.7,22.0,D,2.859483137764168,89.39625497741746,22.0,21.9360910149579,26.575882646643386,3.2,89.8,25.0,58.58495589142892,62.72531540636997,-3.0,-3.0,False
2,2019-04-26 06:00:00+00:00,12,2.5,89.7,22.0,D,3.3885267975465942,89.09621121147848,22.0,21.869671197874965,28.598936274784435,3.8,89.5,25.0,63.89702878075972,89.28352098553658,-3.0,-3.0,True
2,2019-04-26 06:00:00+00:00,18,2.5,89.7,22.0,D,3.955834140897766,88.85763940448575,27.325300194517133,23.151562875170253,30.7106827031372,4.6,89.4,30.0,93.26849197522515,148.54443088495867,-2.6746998054828666,-8.0,True
2,2019-04-26 06:00:00+00:00,24,2.5,89.7,22.0,D,4.28598984431226,88.65814446211603,30.10084652855232,22.6501695765817,37.06001881477682,5.1,89.4,35.0,121.97180279388702,184.36863359908463,-4.899153471447679,-13.0,True
3,2019-04-26 12:00:00+00:00,6,3.2,89.8,25.0,D,3.90093287644802,89.88129491374532,25.0,24.85426148103636,29.866791095058893,3.8,89.5,25.0,43.79639539987077,45.79126465634734,0.0,0.0,False
3,2019-04-26 12:00:00+00:00,12,3.2,89.8,25.0,D,4.748641964989503,89.96714735455961,25.0,24.939119984947283,30.18223075086664,4.6,89.4,30.0,65.03731585174314,66.61308908493231,-5.0,-5.0,True
3,2019-04-26 12:00:00+00:00,18,3.2,89.8,25.0,D,5.454923038503881,90.03005141191757,30.63903021682779,25.803418010489647,33.93994832033883,5.1,89.4,35.0,80.11430573787855,80.77212480495844,-4.360969783172209,-10.0,True
3,2019-04-26 12:00:00+00:00,24,3.2,89.8,25.0,D,5.802092861359063,89.99630423024624,34.93480720701962,25.766338629235925,37.77780201318189,6.0,89.2,45.0,90.85296484067231,110.87058026547072,-10.065192792980383,-20.0,True
4,2019-04-26 18:00:00+00:00,6,3.8,89.5,25.0,D,4.393197672341649,89.18280516751985,25.0,24.854251635286886,30.002812132017375,4.6,89.4,30.0,33.2260704579702,31.352213817244124,-5.0,-5.0,True
4,2019-04-26 18:00:00+00:00,12,3.8,89.5,25.0,D,5.129384757794584,88.9755784545534,25.0,24.792167481809415,31.97394057014438,5.1,89.4,35.0,47.17157099414012,56.64165882558681,-10.0,-10.0,True
4,2019-04-26 18:00:00+00:00,18,3.8,89.5,25.0,D,5.844722803543834,88.81410574068832,34.360396031921475,26.3133050494937,36.03074993400135,6.0,89.2,45.0,46.05099900805644,80.05747168850354,-10.639603968078525,-20.0,True
4,2019-04-26 18:00:00+00:00,24,3.8,89.5,25.0,D,6.298494608320355,88.61368900722232,38.62159659323933,25.828932407921172,41.59759680283007,6.6,88.5,45.0,35.63586496401821,49.75335859052787,-6.378403406760668,-20.0,True
5,2019-04-27 00:00:00+00:00,6,4.6,89.4,30.0,DD,5.332624679203915,89.30373194626426,30.0,29.86578535450411,35.458236957902216,5.1,89.4,35.0,27.850445924643665,34.980463562089945,-5.0,-5.0,True
5,2019-04-27 00:00:00+00:00,12,4.6,89.4,30.0,DD,6.239962117511367,89.20605581351685,33.895374894967205,29.852940518740855,41.72399872332666,6.0,89.2,45.0,26.54513101724586,22.109042656473576,-11.104625105032795,-15.0,True
5,2019-04-27 00:00:00+00:00,18,4.6,89.4,30.0,DD,7.075032125550596,89.19931960948612,38.048235124063424,31.701994401765756,46.00391990211968,6.6,88.5,45.0,93.45977726830904,79.60280443182201,-6.9517648759365755,-15.0,True
5,2019-04-27 00:00:00+00:00,24,4.6,89.4,30.0,DD,7.682473680602778,89.04623791740529,47.69780250254834,30.333997324524788,51.85332844395745,7.1,88.1,45.0,122.72929755933049,125.73228140564063,2.697802502548342,-15.0,True
6,2019-04-27 06:00:00+00:00,6,5.1,89.4,35.0,CS,5.628170890273706,89.39819242597372,35.0,34.74582236966879,45.825222478839244,6.0,89.2,45.0,46.61081485941083,49.47115525825157,-10.0,-10.0,False
6,2019-04-27 06:00:00+00:00,12,5.1,89.4,35.0,CS,6.275562925931917,89.51440133163787,39.19609078243273,32.6687043882083,47.21432035378342,6.6,88.5,45.0,117.81141981375423,113.90002186668256,-5.8039092175672735,-10.0,False
6,2019-04-27 06:00:00+00:00,18,5.1,89.4,35.0,CS,6.958888188282504,89.59691323267695,43.833341105198954,34.33604898945706,50.909224808519376,7.1,88.1,45.0,166.12587629453037,153.96291669216382,-1.1666588948010457,-10.0,False
6,2019-04-27 06:00:00+00:00,24,5.1,89.4,35.0,CS,7.5895074454261255,89.79514130140196,50.33919564708781,32.443454936317075,56.580489624419116,7.4,88.1,45.0,188.27076431846834,147.35165305231448,5.339195647087813,-10.0,False
7,2019-04-27 12:00:00+00:00,6,6.0,89.2,45.0,CS,6.871023056547729,89.02919507219349,45.0,44.902960648207724,54.856362002793524,6.6,88.5,45.0,65.73633332020812,64.43304899275445,0.0,0.0,False
7,2019-04-27 12:00:00+00:00,12,6.0,89.2,45.0,CS,7.83343576232478,88.91574527551445,47.918279795800856,41.84542454329731,58.22381657227779,7.1,88.1,45.0,121.18994494003034,109.24980920923919,2.9182797958008564,0.0,False
7,2019-04-27 12:00:00+00:00,18,6.0,89.2,45.0,CS,8.638515451269715,88.87064061068814,52.26677268201835,45.07005111988808,61.79050847502886,7.4,88.1,45.0,161.17991340015067,153.79207970658607,7.266772682018349,0.0,False
7,2019-04-27 12:00:00+00:00,24,6.0,89.2,45.0,CS,9.090882885154274,88.99909970879028,62.70656816715818,44.77847295987654,70.77102155919349,8.0,87.6,45.0,195.65474735576848,197.23661047382768,17.70656816715818,0.0,False
8,2019-04-27 18:00:00+00:00,6,6.6,88.5,45.0,CS,7.207832363144187,87.87785736981017,45.0,44.754348863711904,56.96730174292216,7.1,88.1,45.0,27.281970280757808,35.02487502685391,0.0,0.0,True
8,2019-04-27 18:00:00+00:00,12,6.6,88.5,45.0,CS,7.871282811355104,87.5139368661636,46.90552416104951,41.228795509494795,63.4795898025134,7.4,88.1,45.0,83.05547415072157,119.20479161896164,1.905524161049513,0.0,False
8,2019-04-27 18:00:00+00:00,18,6.6,88.5,45.0,CS,8.452465733818837,86.90573370961138,52.96689137265938,44.70204011736845,62.774502430495964,8.0,87.6,45.0,91.40925434447959,140.17861839871213,7.966891372659383,0.0,True
8,2019-04-27 18:00:00+00:00,24,6.6,88.5,45.0,CS,8.79609883241626,86.63980940046523,63.5531662242308,44.66130706650747,73.02995966892381,8.2,87.5,45.0,115.3977969063674,218.2051749385837,18.5531662242308,0.0,True
9,2019-04-28 00:00:00+00:00,6,7.1,88.1,45.0,CS,7.637605508419591,87.7297810247414,45.0,44.348827199736995,58.956035065824906,7.4,88.1,45.0,48.58081490836889,49.42317865465233,0.0,0.0,False
9,2019-04-28 00:00:00+00:00,12,7.1,88.1,45.0,CS,8.226722505626904,87.5271461173792,49.205223155182544,41.66386402574629,59.85791682170174,8.0,87.6,45.0,26.328912617153293,35.04498897320192,4.205223155182544,0.0,True
