date,pass,ok,observed_at,lat,lon,wind_kt,coverage,min_c
2019-04-26,terra_day,True,2019-04-26T04:46:00+00:00,2.438,89.762,22.0,0.731,-88.5
2019-04-26,aqua_day,True,2019-04-26T07:46:00+00:00,2.706,89.729,22.9,0.866,-91.0
2019-04-26,terra_night,True,2019-04-26T16:46:00+00:00,3.677,89.562,25.0,0.648,-89.8
2019-04-26,aqua_night,True,2019-04-25T19:46:00+00:00,1.988,90.141,22.0,0.629,-89.8
2019-04-27,terra_day,True,2019-04-27T04:46:00+00:00,4.997,89.4,34.0,0.962,-92.8
2019-04-27,aqua_day,True,2019-04-27T07:46:00+00:00,5.365,89.341,37.9,0.95,-92.8
2019-04-27,terra_night,True,2019-04-27T16:46:00+00:00,6.477,88.644,45.0,1.0,-87.8
2019-04-27,aqua_night,True,2019-04-26T19:46:00+00:00,4.036,89.471,26.5,1.0,-89.1
2019-04-28,terra_day,True,2019-04-28T04:46:00+00:00,7.338,88.1,45.0,1.0,-88.5
2019-04-28,aqua_day,True,2019-04-28T07:46:00+00:00,7.577,87.953,45.0,1.0,-87.2
2019-04-28,terra_night,True,2019-04-28T16:46:00+00:00,8.159,87.521,45.0,0.657,-89.1
2019-04-28,aqua_night,True,2019-04-27T19:46:00+00:00,6.747,88.382,45.0,0.957,-92.8
2019-04-29,terra_day,True,2019-04-29T04:46:00+00:00,9.156,87.241,45.0,0.663,-86.6
2019-04-29,aqua_day,True,2019-04-29T07:46:00+00:00,9.565,87.171,47.9,0.67,-87.8
2019-04-29,terra_night,True,2019-04-29T16:46:00+00:00,10.756,86.862,55.0,1.0,-91.6
2019-04-29,aqua_night,True,2019-04-28T19:46:00+00:00,8.318,87.471,45.0,0.713,-89.8
2019-04-30,terra_day,True,2019-04-30T04:46:00+00:00,12.515,85.944,77.9,1.0,-91.0
2019-04-30,aqua_day,True,2019-04-30T07:46:00+00:00,12.877,85.506,82.9,1.0,-92.8
2019-04-30,terra_night,True,2019-04-30T16:46:00+00:00,13.459,84.482,94.0,0.992,-90.3
2019-04-30,aqua_night,True,2019-04-29T19:46:00+00:00,11.165,86.712,59.4,1.0,-92.8
2019-05-01,terra_day,True,2019-05-01T04:46:00+00:00,14.138,84.021,95.0,1.0,-91.6
2019-05-01,aqua_day,True,2019-05-01T07:46:00+00:00,14.406,84.029,96.5,0.759,-84.8
2019-05-01,terra_night,True,2019-05-01T16:46:00+00:00,15.138,84.179,100.0,0.825,-84.1
2019-05-01,aqua_night,True,2019-04-30T19:46:00+00:00,13.618,84.312,95.0,0.769,-88.5
2019-05-02,terra_day,True,2019-05-02T04:46:00+00:00,16.615,84.759,109.0,0.773,-87.2
2019-05-02,aqua_day,True,2019-05-02T07:46:00+00:00,17.036,84.8,111.5,1.0,-92.8
2019-05-02,terra_night,True,2019-05-02T16:46:00+00:00,18.156,84.959,115.0,1.0,-85.3
2019-05-02,aqua_night,True,2019-05-01T19:46:00+00:00,15.406,84.318,101.5,0.994,-84.8
2019-05-03,terra_day,True,2019-05-03T04:46:00+00:00,19.974,85.818,89.1,1.0,-87.8
2019-05-03,aqua_day,True,2019-05-03T07:46:00+00:00,20.494,86.077,80.6,0.815,-84.8
2019-05-03,terra_night,True,2019-05-03T16:46:00+00:00,21.915,87.215,58.1,0.969,-83.4
2019-05-03,aqua_night,True,2019-05-02T19:46:00+00:00,18.536,85.147,112.1,1.0,-79.0
2019-05-04,terra_day,True,2019-05-04T04:46:00+00:00,24.153,89.294,28.1,0.869,-84.1
2019-05-04,aqua_day,True,2019-05-04T07:46:00+00:00,24.636,89.853,23.5,1.0,-81.6
2019-05-04,aqua_night,True,2019-05-03T19:46:00+00:00,22.424,87.724,50.6,0.937,-39.5
